        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       1                     -0.22148383
                   1.002                     -0.22066149
               1.0039999                     -0.21960634
                   1.006                     -0.21832491
                   1.008                     -0.21682659
                    1.01                     -0.21511978
                   1.012                      -0.2132137
               1.0140001                     -0.21111801
                   1.016                     -0.20884379
                   1.018                     -0.20640144
                    1.02                     -0.20380319
                   1.022                     -0.20105968
                   1.024                     -0.19818355
                   1.026                     -0.19518725
                   1.028                      -0.1920827
                    1.03                     -0.18888268
               1.0319999                      -0.1856002
                   1.034                     -0.18224826
                   1.036                     -0.17883948
                   1.038                      -0.1753863
                    1.04                     -0.17190201
               1.0420001                     -0.16839908
                   1.044                     -0.16489042
                   1.046                     -0.16138693
                   1.048                     -0.15790163
                    1.05                     -0.15444633
                   1.052                     -0.15103194
                   1.054                     -0.14767076
                   1.056                     -0.14437251
                   1.058                     -0.14114751
               1.0599999                     -0.13800537
                   1.062                     -0.13495681
                   1.064                     -0.13200996
                   1.066                     -0.12917433
                   1.068                      -0.1264557
               1.0700001                     -0.12386375
                   1.072                      -0.1214043
                   1.074                     -0.11908352
                   1.076                     -0.11690761
               1.0779999                     -0.11488253
                    1.08                     -0.11301158
                   1.082                     -0.11129861
                   1.084                     -0.10974887
                   1.086                     -0.10836413
               1.0880001                     -0.10714575
                    1.09                     -0.10609776
                   1.092                     -0.10521872
                   1.094                     -0.10451022
                   1.096                     -0.10397277
                   1.098                     -0.10360468
                     1.1                     -0.10340649
                   1.102                     -0.10337424
                   1.104                     -0.10350743
               1.1059999                     -0.10380242
                   1.108                     -0.10425716
                    1.11                     -0.10486569
                   1.112                     -0.10562559
                   1.114                     -0.10653259
               1.1160001                     -0.10758054
                   1.118                     -0.10876432
                    1.12                     -0.11007893
                   1.122                     -0.11151728
                   1.124                     -0.11307299
                   1.126                     -0.11473994
                   1.128                     -0.11650991
                    1.13                     -0.11837702
                   1.132                     -0.12033304
               1.1339999                     -0.12236992
                   1.136                      -0.1244803
                   1.138                     -0.12665556
                    1.14                     -0.12888825
                   1.142                      -0.1311694
               1.1440001                      -0.1334912
                   1.146                     -0.13584562
                   1.148                      -0.1382243
                    1.15                     -0.14061716
                   1.152                     -0.14301821
